Sample_number,Reference,Volcanic Zone,Volcanic Zone specific,Volcanic System,Location,Site,Systems,time,Age yrs BP (Ref 1950),age error,Eruption type,Latitiude,Longitude,Type,SiO2,TiO2,Al2O3,Cr2O3,FeO,Fe2O3,MnO,MgO,CaO,Na2O,K2O,P2O5,SrO,BaO,H2O,sum,Pressure_min,Probability
Krysuvik,Condomines1983,RVB,REP,Krysuvik,Krysuvik,0,Krysuvik,0,0,0,0,63.9,-22.08,Glass,49.314,1.543,14.825,0,10.488,0,0.182,8.441,12.707,2.037,0.252,0.212,0,0,0,100,4.362080602,0.967255775
RE16,Hardarson1997,RVB,REP,Reykjanes,0,0,Reykjanes,0,0,0,0,0,0,Lava,49.49,2.29,13.56,0,14.39,0,0.24,6.36,10.75,2.47,0.24,0.21,0,0,0,100,2.91079938,0.842079708
D6D,Hemond1993,RVB,REP,Reykjanes,Reykjanes,Sandfellshaed,Reykjanes,0,0,0,0,63.88,-22.54,Lava,48.05,1.07,16.12,0,10.72,0,0.17,8.88,12.71,1.83,0.17,0.29,0,0,0,100.01,8.83099628,0.943109591
RP86A,Gee,RVB,REP,Reykjanes,Lagafell_flow_ontop_of_pillows_SW_THorbjarnarfell,Lagafell,Reykjanes,Post-Glacial,<13000 BP,0,0,63.85,-22.45,Pillow,48.61,1.35,15.56,0,10.76,0,0.19,8.7,12.57,2.01,0.13,0.13,0,0,0,100.01,7.167891267,0.994709976
RP51A,Gee,RVB,REP,Reykjanes,Slaga_3phi_from_top,Slaga,Reykjanes,0,0,0,0,63.85,-22.3,Pillow,48.63,1.59,15.04,0,10.47,0,0.19,8.8,12.83,2,0.27,0.18,0,0,0,100,5.757798807,0.800635801
RP51B,Gee,RVB,REP,Reykjanes,Slaga_3phi_flow_from_ca_20m_below_51A,Slaga,Reykjanes,0,0,0,0,63.85,-22.3,Pillow,48.58,1.56,15.09,0,10.48,0,0.19,8.86,12.85,1.96,0.25,0.18,0,0,0,100,6.018522464,0.813708115
RP69E,Gee,RVB,REP,Krysuvik,Keilir_loose_debris_almost_aphyric,Keilir,Krysuvik,0,0,0,0,63.95,-22.02,Pillow,48.89,1.32,15.71,0,9.88,0,0.18,8.82,12.83,1.94,0.26,0.15,0,0,0,99.98,6.4074053,0.988972278
RP69C,Gee,RVB,REP,Krysuvik,Keilir_pillow_debris,Keilir,Krysuvik,0,0,0,0,63.95,-22.02,Pillow,48.81,1.33,15.85,0,9.73,0,0.18,8.92,12.82,1.95,0.26,0.15,0,0,0,100,6.82185347,0.991621921
RP49E,Gee,RVB,REP,Krysuvik,Graenadyngja_E_side__flowlets_whitish_v_fine_grained_aphyric,0,Krysuvik,0,0,0,0,63.92,-22.08,Glass,49.25,1.77,14.54,0,11.79,0,0.21,7.58,12.33,2.08,0.23,0.22,0,0,0,100,3.456853945,0.807700839
RP57B____1L,Gee,RVB,REP,Krysuvik,Hrutafell_older_Lava_2phi,Hrutafell,Krysuvik,0,0,0,0,63.93,-22.07,Glass,49.31,1.06,14.99,0,10.65,0,0.2,8.57,13.21,1.86,0.05,0.1,0,0,0,100,4.614920848,0.972794833
